userID,type,reward,amount
1,free,Mk 2 Nubian Security Scanner Prototype,1
2,free,T2 Training Droid,10
3,free,Mk 4 Neuro-Saav Electrobinoculars,1
3,free,Mk 4 BlasTech Weapon Mod Prototype,1
2,free,Mk 1 Neuro-Saav Electrobinoculars,1
1,free,Mk 2 Nubian Security Scanner Prototype,1
1,free,Mk 1 Sienar Holo Lens,1
1,paid,General Veers,1
1,paid,Mk 1 CEC Fusion Furnace,1
1,paid,Mk 1 TaggeCo Holo Lens,1
1,paid,Credits,500
1,paid,Mk 1 Chiewab Hypo Syringe Prototype,1
1,paid,Mk 2 BAW Armor Mod,1
1,paid,Mk 6 Fabritech Data Pad Salvage,1
1,paid,Mk 2 BAW Armor Mod,1
1,paid,Mk 1 Fabritech Data Pad,1
1,paid,Jawa,1
1,paid,Credits,1000
1,paid,Barriss Offee,1
1,paid,Mk 2 BAW Armor Mod,1
1,paid,Tusken Raider,1
1,paid,Mk 2 Nubian Security Scanner Prototype,1
1,paid,Mk 7 BAW Armor Mod,1
1,paid,Mk 2 Nubian Security Scanner Prototype,1
1,paid,Royal Guard character,1
1,paid,Mk 1 CEC Fusion Furnace,1
3,paid,T1 Training Droid,5
3,paid,Mk 2 Nubian Design Tech,1
3,paid,Mk 1 TaggeCo Holo Lens,1
3,paid,M 1 Neuro-Saav Electrobinoculars,1
3,paid,T3 Training Droid,2
3,paid,Mk 3 Nubian Security Scanner,1
3,paid,Mace Windu,1
3,paid,Mk 3 Loronar Power Cell,1
3,paid,T2 Training Droid,5
3,paid,Mk 6 Neuro-Saav Electrobinoculars Prototype,1
3,paid,Credits,500
3,paid,Mk 3 BlasTech Weapon Mod,1
3,paid,Plo Koon character,1
3,paid,Old Daka,1
3,paid,Mk 2 BlasTech Weapon Mod,1
3,paid,Tusken Raider,1
3,paid,T3 Training Droid,2
3,paid,Mk 7 Loronar Power Cell,1
3,paid,Mk 4 Loronar Power Cell Prototype,1
3,paid,Mk 1 A/KT Stun Gun,1
3,paid,Mk 2 Loronar Power Cell,1
3,paid,Mk 3 Neuro-Saav Electrobinoculars,1
3,paid,Mk 1 Loronar Power Cell,1
3,paid,Mk 1 Merr-Sonn Shield Generator,1
1,free,Mk 2 Loronar Power Cell,1
3,free,Mk 2 BlasTech Weapon Mod,1
2,free,Mk 2 BioTech Implant,1
1,free,Mk 1 BioTech Implant,1
2,free,Mk 2 BAW Armor Mod Prototype,1
2,paid,Mk 1 Nubian Security Scanner,1
2,paid,Mk 3 TaggeCo Holo Lens,1
2,paid,T2 Training Droid,10
2,paid,T1 Training Droid,10
2,paid,Mk 1 Arakyd Droid Caller,1
3,free,Mk 1 Arakyd Droid Caller,1
2,paid,Dathcha,1
2,paid,Old Daka,1
2,paid,Mk 3 Loronar Power Cell,1
2,paid,Mk 2 BioTech Implant,1
2,paid,Mk 3 BAW Armor Mod,1
2,paid,Mk 1 Fabritech Data Pad,1
2,paid,Credits,500
