userID,type,reward,amount
1,free,Credits,500
2,free,Hoth Rebel Scout,1
3,free,T1 Training Droid,10
1,free,Mk 1 Chiewab Hypo Syringe,1
2,free,Mk 2 Nubian Security Scanner Prototype,1
2,paid,Mk 3 BioTech Implant,1
2,paid,Teebo,1
2,paid,T2 Training Droid,5
2,paid,Mk 1 Fabritech Data Pad,1
2,paid,T1 Training Droid,5
2,paid,Mk 1 A/KT Stun Gun,1
2,paid,General Veers,1
2,paid,Jedi Consular,1
2,paid,Credits,500
2,paid,Mk 2 BioTech Implant,1
2,paid,Mk 1 Nubian Design Tech,1
2,paid,Mk 1 Arakyd Droid Caller,1
2,paid,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
2,paid,Credits,700
2,paid,Mk 1 BioTech Implant,1
2,paid,Mk 1 A/KT Stun Gun,1
2,paid,Ewok Elder character,1
2,paid,Mk 2 Merr-Sonn Shield Generator,1
2,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
2,paid,Mk 3 BAW Armor Mod,1
3,free,Mk 1 TaggeCo Holo Lens,1
3,paid,Mk 2 BAW Armor Mod,1
3,paid,T1 Training Droid,10
3,paid,Mk 2 BlasTech Weapon Mod,1
3,paid,Mk 1 Chiewab Hypo Syringe Prototype,1
3,paid,Mk 1 Arakyd Droid Caller,1
3,paid,Mk 1 Loronar Power Cell,1
3,paid,Mk 2 BlasTech Weapon Mod,1
3,paid,Mk 3 SoroSuub Keypad,1
3,paid,Mk 1 Merr-Sonn Thermal Detonator,1
3,paid,Mk 1 Neuro-Saav Electrobinoculars,1
3,free,Mk 1 Merr-Sonn Shield Generator,1
2,free,Mk 1 Loronar Power Cell,1
1,free,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
4,free,Credits,1000
1,free,Mk 2 BlasTech Weapon Mod,1
4,free,Mk 3 SoroSuub Keypad,1
4,free,Mk 1 Nubian Security Scanner,1
4,free,T2 Training Droid,10
1,free,Mk 4 Neuro-Saav Electrobinoculars,1
1,paid,T2 Training Droid,10
1,paid,Mk 1 BAW Armor Mod,1
1,paid,Mk 1 Fabritech Data Pad,1
1,paid,Credits,300
1,paid,Mace Windu,1
1,paid,T1 Training Droid,5
1,paid,Mk 1 Arakyd Droid Caller,1
1,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
1,paid,T2 Training Droid,10
1,paid,Mk 2 BlasTech Weapon Mod,1
1,paid,Mk 2 Fabritech Data Pad,1
1,paid,T2 Training Droid,10
1,paid,Ewok Scout,1
1,paid,Mk 1 BioTech Implant,1
1,paid,Ahsoka Tano character,1
1,paid,T3 Training Droid,1
1,paid,Mk 1 Arakyd Droid Caller,1
1,paid,Mk 2 BAW Armor Mod Prototype,1
1,paid,Mk 5 BlasTech Weapon Mod Prototype,1
1,paid,Mk 2 BAW Armor Mod Prototype,1
1,paid,Mk 1 Nubian Security Scanner,1
1,paid,Mk 1 TaggeCo Holo Lens,1
1,paid,Ahsoka Tano,1
1,paid,Poggle the Lesser,1
1,paid,Mk 1 Chiewab Hypo Syringe,1
3,free,Mk 1 CEC Fusion Furnace,1
3,paid,Mk 1 Arakyd Droid Caller,1
3,paid,T1 Training Droid,5
3,paid,T1 Training Droid,5
3,paid,T2 Training Droid,5
3,paid,T3 Training Droid,2
3,paid,Mk 1 Loronar Power Cell,1
3,paid,Credits,700
3,paid,Mk 1 Fabritech Data Pad,1
3,paid,Mk 2 Nubian Security Scanner Prototype,1
2,free,Mk 1 Nubian Security Scanner,1
4,free,Mk 1 BlasTech Weapon Mod,1
4,paid,Mk 3 Chiewab Hypo Syringe Prototype,1
4,paid,Biggs Darklighter,1
4,paid,Mk 2 Merr-Sonn Shield Generator,1
4,paid,Mk 1 BioTech Implant,1
4,paid,Mk 1 TaggeCo Holo Lens,1
4,paid,Credits,300
4,paid,Mk 2 Nubian Security Scanner,1
4,paid,Jedi Consular,1
4,paid,Mk 1 CEC Fusion Furnace,1
4,paid,Mk 2 Loronar Power Cell,1
4,paid,Credits,500
4,paid,Mk 2 BAW Armor Mod,1
4,paid,Hoth Rebel Scout,1
4,paid,Credits,1000
4,paid,Mk 2 Neuro-Saav Electrobinoculars,1
4,paid,Mk 1 BAW Armor Mod,1
4,paid,Mk 4 A/KT Stun Gun Salvage,1
2,free,Mk 2 Nubian Security Scanner,1
