userID,type,reward,amount
1,free,T1 Training Droid,10
2,free,T3 Training Droid,1
3,free,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
1,free,Mk 4 BioTech Implant Prototype,1
3,free,Jawa,1
2,free,Mk 2 BAW Armor Mod Prototype,1
3,free,Teebo,1
2,free,IG-86 Sentinel Droid character,1
1,free,Mk 5 BlasTech Weapon Mod Prototype,1
1,free,Mk 1 Loronar Power Cell,1
2,free,Mk 1 Arakyd Droid Caller,1
3,free,T2 Training Droid,10
1,free,Mk 2 Nubian Security Scanner,1
2,free,Mk 1 A/KT Stun Gun,1
3,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
3,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
3,paid,Mk 1 BioTech Implant,1
3,paid,Mk 1 Chiewab Hypo Syringe,1
3,paid,Mk 2 Nubian Security Scanner Prototype,1
3,paid,Snowtrooper character,1
3,paid,Mk 1 Chiewab Hypo Syringe Prototype,1
3,paid,Mk 2 Arakyd Droid Caller,1
3,paid,Mk 6 BAW Armor Mod,1
3,paid,Mk 2 Neuro-Saav Electrobinoculars,1
3,paid,Mk 3 TaggeCo Holo Lens Prototype,1
3,paid,Luminara Unduli,1
3,paid,Jawa,1
3,paid,Mk 2 TaggeCo Holo Lens,1
3,paid,T2 Training Droid,5
3,paid,Credits,700
1,paid,Mk 1 Chiewab Hypo Syringe,1
1,paid,T1 Training Droid,5
1,paid,Mk 2 Nubian Security Scanner Prototype,1
1,paid,Mk 1 Nubian Design Tech,1
1,paid,Mk 1 Loronar Power Cell,1
1,paid,Mk 6 Loronar Power Cell,1
1,paid,Mk 1 Merr-Sonn Shield Generator,1
1,paid,Mk 2 Loronar Power Cell,1
1,paid,Mk 1 Nubian Security Scanner,1
1,paid,Credits,1000
1,paid,Mk 1 TaggeCo Holo Lens,1
1,paid,Mk 3 Merr-Sonn Thermal Detonator Prototype,1
1,paid,Ewok Elder,1
1,paid,T3 Training Droid,2
1,paid,Mk 1 Merr-Sonn Shield Generator,1
1,paid,Credits,300
1,paid,T3 Training Droid,2
1,paid,Mk 3 Chiewab Hypo Syringe,1
1,paid,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
1,paid,Mace Widu,1
1,paid,Jedi Knight Guardian character,1
1,paid,Credits,700
1,paid,Credits,700
2,paid,Mk 1 BlasTech Weapon Mod,1
2,paid,IG-100 MagnaGuard character,1
2,paid,Mk 2 Fabritech Data Pad,1
2,paid,Mk 1 Arakyd Droid Caller,1
2,paid,Mk 3 SoroSuub Keypad,1
2,paid,Mk 2 Nubian Security Scanner Prototype,1
2,paid,Mk 2 A/KT Stun Gun,1
2,paid,Mk 1 Loronar Power Cell,1
2,paid,Mk 2 Nubian Security Scanner Prototype,1
2,paid,Mk 3 TaggeCo Holo Lens,1
2,paid,Mk 1 Merr-Sonn Shield Generator,1
2,paid,Mk 1 Merr-Sonn Shield Generator,1
2,paid,Mk 2 BAW Armor Mod,1
2,paid,Credits,700
2,paid,Snowtrooper character,1
2,paid,Mk 1 BlasTech Weapon Mod,1
