userID,type,reward,amount
1,free,Credits,500
2,free,Mk 1 BAW Armor Mod,1
3,free,Mk 1 Chiewab Hypo Syringe,1
4,free,Barriss Offee,1
4,free,Mk 1 Neuro-Saav Electrobinoculars,1
1,free,Mk 4 Nubian Security Scanner,1
2,free,Mk 1 Neuro-Saav Electrobinoculars,1
3,free,Mk 2 Neuro-Saav Electrobinocular,1
4,free,Mk 1 BAW Armor Mod,1
1,free,Mk 1 TaggeCo Holo Lens,1
3,free,Credits,300
3,free,T2 Training Droid,5
3,free,Credits,700
1,free,Ahsoka Tano,1
1,free,Mk 1 Fabritech Data Pad,1
4,free,Mk 7 Fabritech Data Pad,1
2,free,Mk 2 Nubian Security Scanner,1
2,free,Mk 1 Merr-Sonn Shield Generator,1
4,free,Mk 1 CEC Fusion Furnace,1
2,free,Mk 3 BlasTech Weapon Mod,1
