userID,type,reward,amount
1,free,Mk 4 BioTech Implant Prototype,1
2,free,Credits,300
4,free,Mk 2 A/KT Stun Gun,1
1,free,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
2,free,Mk 1 Nubian Security Scanner,1
3,free,Mk 1 Carbanti Sensor Array,1
4,free,T1 Training Droid,5
1,free,Biggs Darklighter,1
2,free,Mk 2 Nubian Security Scanner,1
3,free,Mk 1 A/KT Stun Gun,1
4,free,Mk 1 Loronar Power Cell,1
1,free,Mk 1 Czerka Stun Cuffs,1
4,free,Mk 2 BlasTech Weapon Mod,1
3,free,Mk 1 A/KT Stun Gun,1
2,free,Mk 2 Sienar Holo Projector Prototype Salvage,1
4,free,Mk 1 Chiewab Hypo Syringe Prototype,1
