userID,type,reward,amount
1,free,Mk 2 BlasTech Weapon Mod,1
2,free,T1 Training Droid,5
3,free,Credits,300
4,free,Mk 2 Nubian Security Scanner,1
1,free,Mk 2 A/KT Stun Gun,1
4,free,Mk 4 BAW Armor Mod Salvage,1
2,free,Jedi Consular character,1
3,free,Mk 1 Sienar Holo Projector,1
2,free,Mk 1 Chiewab Hypo Syringe,1
3,free,Mk 2 Merr-Sonn Shield Generator,1
4,free,Mk 1 BAW Armor Mod,1
1,free,Credits,700
1,paid,Mk 1 Neuro-Saav Electrobinoculars,1
2,free,Mk 1 A/KT Stun Gun,1
3,free,Hoth Rebel Scout,1
1,free,Mk 1 Loronar Power Cell,1
