userID,type,reward,amount
2,free,Mk 3 TaggeCo Holo Lens,1
3,free,Mk 2 BlasTech Weapon Mod,1
4,free,T3 Training Droid,2
1,free,T3 Training Droid,2
2,free,T2 Training Droid,10
3,free,Mk 2 Nubian Security Scanner Prototype,1
4,free,T3 Training Droid,2
2,free,Mk 1 Nubian Security Scanner,1
1,free,Credits,1000
4,free,Mk 2 Loronar Power Cell,1
3,free,Mk 1 A/KT Stun Gun,1
1,free,Mk 4 BioTech Implant Prototype,1
1,free,Mk 1 BAW Armor Mod,1
2,free,Mk 4 Loronar Power Cell Prototype,1
3,free,T2 Training Droid,10
4,free,Mk 1 Nubian Security Scanner,1
