battleID,userID,battle,n_sims
1,1,Cantina 2-F,20
2,1,Cantina 2-F,19
3,1,Dark Side 6-D (Hard),5
4,1,Light Side 5-D (Hard),2
5,1,Fleet 2-B (Hard),5
6,3,Cantina 2-F,20
7,3,Cantina 2-F,20
8,3,Cantina 2-F,20
9,3,Cantina 2-F,12
10,3,Dark Side 6-D (Hard),5
11,3,Dark Side 5-B (Hard),5
12,3,Fleet 2-D (Hard),5
13,3,Light Side 5-D (Hard),5
14,3,Fleet 1-C (Hard),5
15,4,Cantina 3-F,20
16,4,Cantina 3-F,20
17,4,Cantina 2-F,16
18,4,Fleet 2-B (Hard),5
19,4,Dark Side 6-D (Hard),5
20,4,Dark Side 1-A (Hard),5
21,4,Light Side 5-D (Hard),3
22,4,Fleet 1-C (Hard),2
23,2,Cantina 2-F,20
24,2,Cantina 2-F,17
25,2,Dark Side 6-D (Hard),5
26,2,Light Side 5-D (Hard),5
27,2,Fleet 2-B (Hard),5
28,2,Fleet 1-C (Hard),2
