battleID,userID,battle,n_sims
1,3,Dark Side 6-D (Hard),1
2,3,Dark Side 5-F (Hard),5
3,3,Light Side 1-D (Hard),4
4,3,Fleet 3-D (Hard),3
5,3,Cantina 8-D,7
6,3,Fleet 3-B (Hard),3
7,1,Cantina 4-G,10
8,1,Dark Side 8-A (Hard),4
9,1,Light Side 8-D (Hard),5
10,1,Fleet 3-D (Hard),3
11,1,Fleet 3-B (Hard),3
12,1,Dark Side 9-B (Hard),5
13,1,Fleet 3-B (Hard),2
14,1,Cantina 4-G,18
15,1,Cantina 4-G,12
16,1,Dark Side 8-D (Hard),5
17,1,Fleet 1-B (Hard),5
18,1,Fleet 3-D (Hard),2
19,3,Cantina 8-D,1
20,3,Light Side 6-B (Hard),5
21,3,Dark Side 6-D (Hard),3
22,3,Fleet 4-B (Hard),5
23,3,Fleet 3-D (Hard),1
