battleID,userID,battle,n_sims
1,1,Cantina 1-B,20
2,1,Cantina 1-B,8
3,1,Dark Side 6-D (Hard),5
4,1,Dark Side 5-B (Hard),5
5,4,Cantina 4-B,20
6,4,Cantina 4-B,20
7,4,Cantina 4-B,7
8,4,Dark Side 6-D (Hard),5
9,4,Dark Side 5-B (Hard),5
10,1,Fleet 2-D (Hard),2
11,1,Fleet 3-C (Hard),4
12,4,Fleet 1-C (Hard),5
13,4,Fleet 2-D (Hard),2
14,3,Fleet 2-B (Hard),3
15,3,Fleet 2-D (Hard),3
16,2,Light Side 7-D (Hard),5
17,2,Cantina 1-B,20
18,2,Cantina 1-B,20
19,2,Cantina 1-B,4
20,2,Dark Side 6-D (Hard),3
21,2,Dark Side 5-B (Hard),2
22,2,Fleet 2-B (Hard),3
23,2,Fleet 2-D (Hard),4
