battleID,userID,battle,n_sims
1,2,Fleet 1-C (Hard),5
2,3,Fleet 2-B (Hard),5
3,4,Fleet 1-C (Hard),5
4,1,Fleet 2-D (Hard),5
5,3,Cantina 3-F,6
6,3,Dark Side 1-A (Hard),5
7,3,Light Side 5-D (Hard),3
8,2,Cantina 4-B,15
9,2,Dark Side 1-A (Hard),5
10,2,Light Side 5-D (Hard),3
11,4,Cantina 1-F,20
12,4,Cantina 1-F,18
13,4,Dark Side 1-A (Hard),5
14,4,Light Side 5-D (Hard),3
15,1,Cantina 4-B,20
16,1,Cantina 4-B,11
17,1,Dark Side 1-A (Hard),5
18,1,Light Side 5-D (Hard),3
19,2,Cantina 4-B,9
20,2,Light Side 5-D (Hard),2
21,2,Dark Side 5-B (Hard),5
22,2,Fleet 1-D (Hard),5
23,3,Cantina 4-B,8
24,3,Light Side 5-D (Hard),2
25,3,Dark Side 6-D (Hard),5
26,3,Fleet 1-C (Hard),5
27,1,Cantina 4-B,8
28,1,Light Side 8-A (Hard),5
29,1,Fleet 1-C (Hard),5
30,4,Cantina 1-F,6
31,4,Light Side 5-D (Hard),2
32,4,Light Side 3-C (Hard),5
33,4,Fleet 1-D (Hard),5
34,4,Fleet 1-A (Hard),5
35,1,Dark Side 8-D (Hard),5
36,4,Cantina 1-F,2
37,4,Dark Side 5-B (Hard),5
38,4,Dark Side 4-E (Hard),3
39,2,Fleet 1-A (Hard),5
40,2,Light Side 3-C (Hard),5
41,2,Dark Side 4-E (Hard),5
42,1,Cantina 4-B,4
43,1,Dark Side 6-D (Hard),5
44,1,Fleet 2-B (Hard),5
