battleID,userID,battle_name,n_sims
1,2,Dark Side 1-A (Hard),5
2,2,Cantina 1-F,7
3,2,Light Side 2-E (Hard),3
4,2,Cantina 1-F,4
5,1,Cantina 1-F,6
6,1,Dark Side 1-A (Hard),5
7,1,Light Side 2-E (Hard),3
8,3,Dark Side 1-A (Hard),0
9,3,Dark Side 1-A (Hard),0
10,3,Dark Side 1-A (Hard),0
11,3,Light Side 2-E (Hard),0
12,3,Light Side 2-E (Hard),0
13,3,Light Side 2-E (Hard),0
14,1,Fleet 1-A,5
15,2,Light Side 2-E (Hard),2
16,2,Dark Side 1-B (Hard),5
17,3,Cantina 1-F,0
18,3,Cantina 1-F,0
19,3,Cantina 1-F,0
20,1,Fleet 1-E,5
21,1,Fleet 1-C,5
22,1,Light Side 2-E (Hard),5
23,1,Dark Side 2-C (Hard),5
24,1,Light Side 5-E (Hard),4
25,1,Cantina 1-F,9
26,2,Cantina 1-F,10
27,2,Light Side 2-A (Hard),5
28,3,Cantina 1-F,13
29,3,Dark Side 1-A (Hard),2
30,3,Light Side 2-E (Hard),2
