battleID,userID,battle,n_sims
1,3,Cantina 8-D,7
2,3,Dark Side 6-D (Hard),5
3,3,Fleet 3-D (Hard),3
4,3,Dark Side 7-D (Hard),4
5,3,Fleet 3-B (Hard),3
6,1,Cantina 5-C,8
7,1,Light Side 6-A (Hard),3
8,1,Fleet 1-B (Hard),5
9,1,Fleet 3-B (Hard),3
10,1,Light Side 8-D (Hard),5
11,1,Dark Side 8-D (Hard),1
12,1,Cantina 5-C,20
13,1,Cantina 5-C,6
14,1,Dark Side 7-A (Hard),5
15,1,Fleet 2-E (Hard),5
16,1,Light Side 6-A (Hard),2
17,1,Fleet 1-B (Hard),1
18,3,Cantina 8-D,4
19,3,Light Side 6-B (Hard),5
20,3,Dark Side 7-D (Hard),3
21,3,Fleet 4-B (Hard),5
22,3,Fleet 3-D (Hard),1
