battleID,userID,battle,n_sims
1,3,Cantina 6-G,8
2,3,Dark Side 5-B (Hard),4
3,3,Dark Side 5-F (Hard),5
4,3,Light Side 1-D (Hard),1
5,3,Fleet 4-B (Hard),3
6,3,Fleet 3-D (Hard),2
7,1,Cantina 7-F,7
8,1,Light Side 9-H (Normal),16
9,1,Fleet 3-D (Hard),3
10,1,Fleet 5-A (Normal),6
11,1,Light Side 8-A (Hard),5
12,1,Cantina 7-F,18
13,3,Cantina 6-G,5
14,3,Dark Side 1-C (Hard),5
15,3,Light Side 1-C (Hard),5
16,3,Fleet 2-D (Hard),5
17,3,Fleet 4-B (Hard),1
18,1,Fleet 1-B (Hard),5
19,1,Fleet 3-D (Hard),2
20,1,Light Side 9-A (Normal),3
