battleID,userID,battle,n_sims
1,3,Cantina 8-D,7
2,3,Dark Side 6-D (Hard),2
3,3,Dark Side 5-F (Hard),5
4,3,Light Side 1-D (Hard),4
5,3,Fleet 3-D (Hard),4
6,3,Fleet 3-B (Hard),2
7,1,Cantina 4-G,11
8,1,Dark Side 8-A (Hard),5
9,1,Fleet 3-D (Hard),3
10,1,Light Side 8-D (Hard),3
11,1,Fleet 3-B (Hard),3
12,1,Cantina 4-G,20
13,1,Cantina 4-G,10
14,1,Dark Side 8-D (Hard),5
15,1,Fleet 1-B (Hard),5
16,1,Dark Side 8-A (Hard),2
17,1,Fleet 3-D (Hard),2
18,3,Cantina 8-D,4
19,3,Light Side 6-B (Hard),5
20,3,Fleet 4-B (Hard),5
21,3,Dark Side 6-D (Hard),4
22,3,Fleet 3-D (Hard),2
