battleID,userID,battle,n_sims
1,1,Dark Side 8-A (Hard),3
2,1,Light Side 8-D (Hard),5
3,1,Cantina 8-C,6
4,1,Fleet 3-D (Hard),2
5,1,Fleet 3-B (Hard),3
6,3,Cantina 8-D,7
7,3,Dark Side 6-D (Hard),2
8,3,Light Side 9-D (Hard),5
9,3,Fleet 3-D (Hard),3
10,3,Fleet 3-B (Hard),2
11,3,Cantina 8-D,3
12,3,Light Side 6-B (Hard),5
13,3,Fleet 4-B (Hard),5
14,1,Cantina 4-G,20
15,1,Cantina 4-G,10
16,1,Dark Side 8-D (Hard),5
17,1,Fleet 1-B (Hard),5
18,1,Dark Side 6-D (Hard),3
19,1,Dark Side 8-A (Hard),1
20,1,Fleet 3-D (Hard),2
