battleID,userID,battle_name,n_sims
1,2,Cantina 1-F,0
2,2,Cantina 1-F,0
3,3,Dark Side 1-A (Hard),0
4,3,Dark Side 1-A (Hard),0
5,2,Cantina 1-F,0
6,3,Dark Side 1-A (Hard),0
7,2,Cantina 1-F,0
8,2,Cantina 1-F,0
9,3,Light Side 2-E (Hard),0
10,2,Cantina 1-F,0
11,3,Light Side 2-E (Hard),0
12,3,Light Side 2-E (Hard),0
13,2,Dark Side 1-A (Hard),0
14,2,Dark Side 1-A (Hard),0
15,3,Cantina 2-B,0
16,2,Dark Side 1-A (Hard),0
17,3,Cantina 2-B,0
18,2,Light Side 2-E (Hard),0
19,3,Cantina 2-B,0
20,2,Light Side 2-E (Hard),0
21,3,Cantina 2-B,0
22,2,Light Side 2-E (Hard),0
23,3,Cantina 2-B,0
24,3,Cantina 2-B,0
25,1,Light Side 7-D (Hard),5
26,1,Cantina 1-F,7
27,1,Dark Side 1-A (Hard),2
28,1,Fleet 2-B (Hard),5
29,1,Dark Side 1-A (Hard),1
30,1,Cantina 1-F,11
31,1,Dark Side 1-A (Hard),2
32,1,Dark Side 8-D (Hard),5
33,1,Fleet 1-A (Hard),5
34,1,Dark Side 5-B (Hard),5
35,1,Fleet 2-D (Hard),5
36,1,Dark Side 6-D (Hard),3
37,2,Cantina 2-C,0
38,3,Light Side 2-E (Hard),0
39,2,Cantina 2-B,0
40,3,Light Side 2-E (Hard),0
41,2,Cantina 2-B,0
42,2,Cantina 2-B,0
43,3,Dark Side 1-A (Hard),0
44,2,Cantina 2-B,0
45,3,Dark Side 1-A (Hard),0
46,2,Cantina 2-B,0
47,2,Cantina 2-B,0
48,2,Dark Side 1-A (Hard),0
49,2,Dark Side 1-A (Hard),0
50,2,Light Side 2-A (Hard),0
51,2,Light Side 2-A (Hard),0
52,2,Light Side 2-A (Hard),0
53,2,Light Side 2-A (Hard),0
54,2,Light Side 2-A (Hard),0
55,3,Light Side 2-A (Hard),0
56,3,Light Side 2-A (Hard),0
57,3,Light Side 2-A (Hard),0
58,3,Light Side 2-A (Hard),0
59,3,Light Side 2-A (Hard),0
60,3,Cantina 2-B,0
61,3,Cantina 2-B,0
62,3,Cantina 2-B,0
63,3,Cantina 2-B,0
64,3,Cantina 2-B,0
65,3,Cantina 2-B,0
66,3,Cantina 2-B,0
67,3,Cantina 2-B,0
68,3,Cantina 2-B,0
69,3,Cantina 2-B,0
