battleID,userID,battle,n_sims
1,3,Light Side 6-B (Hard),5
2,3,Fleet 2-A (Hard),5
3,3,Dark Side 7-D (Hard),2
4,3,Fleet 3-D (Hard),2
5,3,Cantina 5-D,6
6,1,Dark Side 7-A (Hard),5
7,1,Cantina 5-G ,15
8,1,Fleet 2-E (Hard),5
9,1,Light Side 6-A (Hard),2
10,1,Fleet 1-B (Hard),2
11,1,Cantina 5-G ,8
12,1,Light Side 6-A (Hard),3
13,1,Light Side 8-D (Hard),5
14,1,Fleet 1-B (Hard),3
15,1,Fleet 5-A (Hard),3
16,3,Cantina 5-D,8
17,3,Dark Side 7-D (Hard),3
18,3,Fleet 3-D (Hard),3
19,3,Fleet 3-B (Hard),2
20,3,Light Side 8-D (Hard),5
21,1,Dark Side 5-D (Hard),4
22,1,Fleet 5-A (Hard),2
23,3,Dark Side 9-B (Hard),3
24,3,Dark Side 9-B (Hard),1
25,3,Fleet 3-B (Hard),2
