battleID,userID,battle,n_sims
1,3,Dark Side 1-A (Hard),5
2,3,Cantina 2-B,10
3,1,Cantina 2-B,7
4,4,Fleet 1-A (Normal),15
5,1,Fleet 2-D (Hard),5
6,3,Light Side 5-D (Hard),3
7,3,Fleet 1-A (Normal),3
8,3,Cantina 2-B,20
9,3,Cantina 2-B,11
10,1,Dark Side 1-A (Hard),5
11,1,Light Side 5-D (Hard),3
12,4,Cantina 2-B,7
13,4,Cantina 2-B,15
14,4,Cantina 2-B,15
15,4,Cantina 2-B,15
16,4,Cantina 2-B,7
17,4,Light Side 5-D (Hard),5
18,4,Dark Side 1-A (Hard),5
19,4,Dark Side 4-A (Hard),5
20,2,Fleet 1-A (Normal),15
21,2,Dark Side 1-A (Hard),5
22,2,Light Side 5-D (Hard),3
23,2,Cantina 1-F,20
24,2,Cantina 1-F,20
25,2,Cantina 1-F,20
26,2,Dark Side 4-A (Hard),5
27,3,Cantina 2-B,7
28,3,Dark Side 4-A (Hard),5
29,3,Fleet 1-A (Normal),15
30,1,Cantina 2-B,17
31,1,Fleet 1-C (Hard),5
32,1,Dark Side 4-A (Hard),5
33,1,Light Side 5-D (Hard),2
34,1,Dark Side 6-D (Hard),5
35,4,Dark Side 5-D (Hard),5
36,4,Cantina 2-B,11
37,4,Fleet 1-A (Normal),15
38,4,Dark Side 2-B (Hard),5
39,4,Dark Side 4-E (Hard),5
40,2,Cantina 1-F,5
41,2,Light Side 5-K (Normal),2
42,2,Light Side 5-K (Normal),2
43,2,Light Side 5-K (Normal),2
44,2,Light Side 5-K (Normal),2
45,2,Light Side 5-K (Normal),2
46,2,Light Side 5-K (Normal),2
47,2,Light Side 5-F (Normal),4
48,2,Fleet 1-A (Normal),15
49,4,Dark Side 2-A (Normal),4
50,4,Dark Side 2-A (Normal),6
51,4,Light Side 4-J (Normal),2
52,3,Cantina 2-B,6
53,3,Fleet 1-A (Normal),12
54,3,Light Side 6-G (Normal),11
55,2,Cantina 2-B,2
56,2,Light Side 5-F (Normal),10
57,1,Dark Side 8-B (Normal),18
58,1,Fleet 2-B (Hard),5
59,1,Cantina 2-B,6
