battleID,userID,battle,n_sims
1,1,Fleet 2-B (Hard),5
2,1,Cantina 2-F,20
3,1,Cantina 2-F,20
4,1,Cantina 2-F,11
5,2,Fleet 2-B (Hard),4
6,3,Fleet 2-B (Hard),4
7,4,Fleet 2-B (Hard),4
8,3,Cantina 2-F,20
9,3,Cantina 2-F,20
10,3,Cantina 2-F,10
11,2,Cantina 2-F,20
12,2,Cantina 2-F,15
13,2,Dark Side 6-D (Hard),3
14,2,Light Side 5-D (Hard),5
15,1,Dark Side 6-D (Hard),5
16,3,Dark Side 5-B (Hard),3
17,3,Light Side 5-D (Hard),4
18,4,Cantina 3-F,20
19,4,Cantina 3-F,20
20,4,Dark Side 6-D (Hard),3
21,4,Light Side 3-C (Hard),4
22,1,Dark Side 7-E (Normal),1
23,1,Cantina 2-F,6
24,2,Dark Side 6-D (Hard),2
25,2,Cantina 2-F,6
26,4,Cantina 3-F,5
27,4,Dark Side 1-A (Hard),4
