battleID,userID,battle_name,n_sims
1,2,Cantina 1-F,0
2,3,Cantina 1-F,0
3,2,Cantina 1-F,0
4,3,Cantina 2-B,0
5,2,Cantina 1-F,0
6,3,Cantina 2-B,0
7,2,Cantina 1-F,0
8,3,Cantina 2-B,0
9,3,Cantina 2-B,0
10,2,Dark Side 1-A (Hard),0
11,3,Cantina 2-B,0
12,2,Dark Side 1-A (Hard),0
13,2,Dark Side 1-A (Hard),0
14,3,Cantina 2-B,0
15,2,Dark Side 1-A (Hard),0
16,3,Cantina 2-B,0
17,2,Dark Side 1-A (Hard),0
18,3,Dark Side 1-A (Hard),0
19,2,Light Side 2-E (Hard),0
20,3,Dark Side 1-A (Hard),0
21,3,Dark Side 1-A (Hard),0
22,2,Light Side 2-E (Hard),0
23,3,Dark Side 1-A (Hard),0
24,2,Light Side 2-E (Hard),0
25,3,Dark Side 1-A (Hard),0
26,2,Light Side 2-E (Hard),0
27,3,Light Side 2-E (Hard),0
28,3,Light Side 2-E (Hard),0
29,3,Light Side 2-E (Hard),0
30,3,Light Side 2-E (Hard),0
31,3,Light Side 2-E (Hard),0
32,1,Fleet 2-B (Hard),5
33,1,Cantina 2-B,6
34,1,Dark Side 1-A (Hard),3
35,1,Light Side 7-D (Hard),3
36,1,Light Side 7-D (Hard),2
37,1,Dark Side 1-A (Hard),2
38,1,Cantina 2-B,9
39,2,Cantina 1-F,15
40,2,Light Side 2-E (Hard),1
41,2,Light Side 1-C (Hard),5
42,2,Light Side 2-A (Hard),5
43,3,Dark Side 2-C (Hard),0
44,3,Dark Side 2-C (Hard),0
45,3,Dark Side 2-C (Hard),0
46,3,Dark Side 2-C (Hard),0
47,1,Light Side 5-E (Hard),5
48,1,Dark Side 2-C (Hard),5
49,1,Fleet 1-D (Hard),5
50,1,Cantina 2-B,6
51,1,Cantina 2-B,15
52,1,Cantina 2-B,15
53,2,Dark Side 1-C (Hard),0
54,2,Dark Side 1-C (Hard),0
55,2,Dark Side 1-C (Hard),0
56,2,Dark Side 1-C (Hard),0
57,2,Dark Side 1-C (Hard),0
58,3,Light Side 3-E (Hard),0
59,3,Light Side 3-E (Hard),0
60,3,Light Side 3-E (Hard),0
61,3,Light Side 3-E (Hard),0
62,3,Light Side 3-E (Hard),0
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
