battleID,userID,battle_name,n_sims
1,2,Cantina 2-B,0
2,2,Cantina 2-B,0
3,2,Cantina 2-B,0
4,2,Cantina 2-B,0
5,2,Cantina 2-B,0
6,2,Cantina 2-B,0
7,2,Cantina 2-B,0
8,2,Cantina 2-B,0
9,2,Cantina 2-B,0
10,2,Cantina 2-B,0
11,2,Cantina 2-B,0
12,2,Cantina 2-B,0
13,2,Cantina 2-B,0
14,2,Dark Side 1-A (Hard),0
15,2,Dark Side 1-A (Hard),0
16,2,Dark Side 1-A (Hard),0
17,2,Light Side 2-E (Hard),0
18,2,Light Side 2-E (Hard),0
19,2,Light Side 2-E (Hard),0
20,2,Dark Side 1-A (Hard),0
21,2,Dark Side 1-A (Hard),0
22,1,Dark Side 1-A (Hard),3
23,1,Cantina 2-B,6
24,1,Light Side 6-D (Hard),5
25,1,Fleet 2-D (Hard),5
26,1,Cantina 2-B,14
27,1,Dark Side 1-A (Hard),5
28,1,Light Side 2-E (Hard),5
29,1,Light Side 7-D (Hard),5
30,1,Fleet 2-B (Hard),5
31,1,Cantina 2-B,12
32,3,Light Side 2-A (Hard),0
33,3,Light Side 2-A (Hard),0
34,3,Light Side 2-A (Hard),0
35,3,Light Side 2-A (Hard),0
36,2,Light Side 2-A (Hard),0
37,3,Light Side 2-A (Hard),0
38,2,Light Side 2-A (Hard),0
39,3,Cantina 2-B,0
40,2,Light Side 2-A (Hard),0
41,3,Cantina 2-B,0
42,2,Light Side 2-A (Hard),0
43,3,Cantina 2-B,0
44,2,Light Side 2-A (Hard),0
45,3,Cantina 2-B,0
46,2,Cantina 2-B,0
47,3,Cantina 2-B,0
48,2,Cantina 2-B,0
49,3,Cantina 2-B,0
50,2,Cantina 2-B,0
51,3,Cantina 2-B,0
52,2,Cantina 2-B,0
53,2,Cantina 2-B,0
54,2,Cantina 2-B,0
55,2,Cantina 2-B,0
56,2,Cantina 2-B,0
57,1,Light Side 4-D (Normal),1
58,1,Light Side 4-D (Normal),1
59,1,Light Side 4-D (Normal),1
60,1,Light Side 2-E (Normal),1
61,1,Light Side 2-E (Normal),1
62,1,Light Side 4-I (Normal),2
63,1,Light Side 4-I (Normal),2
64,1,Light Side 4-I (Normal),1
65,1,Light Side 4-I (Normal),1
66,1,Light Side 4-I (Normal),1
67,1,Light Side 4-I (Normal),1
68,1,Light Side 3-C (Normal),1
69,1,Light Side 3-C (Normal),1
70,1,Light Side 3-C (Normal),1
71,1,Light Side 4-D (Normal),1
72,1,Light Side 2-E (Normal),1
73,1,Fleet 1-D (Hard),5
