battleID,userID,battle,n_sims
1,1,Cantina 7-F,7
2,3,Cantina 6-G,8
3,3,Dark Side 1-C (Hard),1
4,3,Light Side 1-C (Hard),5
5,3,Fleet 3-D (Hard),5
6,3,Dark Side 5-F (Hard),5
7,3,Fleet 3-B (Normal),4
8,1,Dark Side 9-E (Normal),16
9,1,Fleet 3-D (Hard),3
10,1,Fleet 4-A (Normal),6
11,1,Fleet 3-B (Hard),2
12,1,Dark Side 9-E (Normal),4
13,3,Cantina 6-G,5
14,3,Light Side 6-B (Hard),5
15,3,Fleet 4-B (Hard),5
16,3,Dark Side 1-C (Hard),3
17,1,Light Side 8-A (Hard),5
18,1,Cantina 7-F,18
19,1,Dark Side 8-A (Hard),1
20,1,Fleet 1-B (Hard),5
