battleID,userID,battle_name,n_sims
1,3,Cantina 1-F,13
2,3,Dark Side 1-A (Hard),5
3,2,Cantina 1-F,8
4,2,Dark Side 1-A (Hard),5
5,2,Light Side 2-E (Hard),3
6,3,Light Side 2-E (Hard),0
7,3,Light Side 2-E (Hard),0
8,3,Light Side 2-E (Hard),0
9,1,Cantina 1-F,13
10,1,Dark Side 1-A (Hard),5
11,1,Fleet 1-A,5
12,1,Light Side 3-E (Hard),4
13,2,Cantina 1-F,5
14,3,Cantina 1-F,5
15,3,Light Side 2-E (Hard),2
16,3,Light Side 3-E (Hard),5
17,2,Light Side 2-A (Hard),5
18,1,Fleet 1-E (Hard),5
19,1,Light Side 3-E (Hard),1
20,1,Dark Side 2-C (Hard),5
21,1,Fleet 1-C,5
22,1,Light Side 5-E (Hard),5
23,1,Dark Side 3-E (Hard),5
24,2,Light Side 2-E (Hard),2
25,2,Dark Side 1-B (Hard),5
26,2,Cantina 1-F,7
27,3,Cantina 1-F,8
28,3,Dark Side 3-E (Hard),5
29,3,Dark Side 1-B (Hard),5
