date,userID,level,power
2020-12-01,1,85,2370129
2020-12-01,3,85,1083318
2020-12-02,1,85,2374586
2020-12-02,3,85,1088762
2020-12-03,1,85,2393116
2020-12-03,3,85,1106989
2020-12-04,1,85,2402868
2020-12-04,3,85,1106989
2020-12-05,1,85,2405575
2020-12-05,3,85,1111716
2020-12-06,1,85,2405697
2020-12-06,3,85,1111716
2020-12-07,1,85,2410886
2020-12-07,3,85,1113197
2020-12-08,1,85,2414056
2020-12-08,3,85,1117792
2020-12-11,1,85,2456532
2020-12-11,3,85,1174064
2020-12-12,1,85,2460291
2020-12-12,3,85,1174064
2020-12-13,1,85,2469315
2020-12-13,3,85,1174365
2020-12-14,1,85,2470809
2020-12-14,3,85,1177206
2020-12-15,1,85,2488284
2020-12-15,3,85,1179201
2020-12-16,1,85,2490961
2020-12-16,3,85,1182048
2020-12-17,1,85,2493559
2020-12-17,3,85,1182048
2020-12-18,1,85,2494276
2020-12-18,3,85,1182273
2020-12-19,1,85,2498977
2020-12-19,3,85,1182273
