date,userID,level,power
2020-04-01,1,85,906435
2020-04-01,2,83,426950
2020-04-01,3,84,454553
2020-04-01,4,83,390736
2020-04-02,1,85,908672
2020-04-02,2,83,440941
2020-04-02,3,84,456322
2020-04-02,4,83,391125
2020-04-03,1,85,912659
2020-04-03,2,83,441417
2020-04-03,3,84,456322
2020-04-03,4,84,411754
2020-04-04,1,85,921106
2020-04-04,2,83,442885
2020-04-04,3,84,458372
2020-04-04,4,84,413184
2020-04-05,1,85,927040
2020-04-05,2,83,442888
2020-04-05,3,84,462258
2020-04-05,4,84,423622
2020-04-06,1,85,927639
2020-04-06,2,83,451286
2020-04-06,3,84,462836
2020-04-06,4,84,423625
2020-04-07,1,85,928515
2020-04-07,2,83,451286
2020-04-07,3,84,464911
2020-04-07,4,84,424628
