date,userID,level,power
2021-02-01,1,85,2680187
2021-02-01,3,85,1437722
2021-02-02,1,85,2680187
2021-02-02,3,85,1451963
2021-02-03,1,85,2696647
2021-02-03,3,85,1455139
2021-02-04,1,85,2700766
2021-02-04,3,85,1455139
2021-02-05,1,85,2700766
2021-02-05,3,85,1455139
2021-02-06,1,85,2700766
2021-02-06,3,85,1466785
2021-02-07,1,85,2702761
2021-02-07,3,85,1466785
2021-02-08,1,85,2703099
2021-02-08,3,85,1467925
2021-02-09,1,85,2706299
2021-02-09,3,85,1467925
2021-02-10,1,85,2706776
2021-02-11,1,85,2707622
2021-02-11,3,85,1472716
2021-02-12,1,85,2719988
2021-02-12,3,85,1472716
2021-02-13,1,85,2722181
2021-02-13,3,85,1472716
2021-02-14,1,85,2740513
2021-02-14,3,85,1472716
2021-02-15,1,85,2750554
2021-02-15,3,85,1473856
