date,userID,level,power
2020-09-02,1,85,1763566
2020-09-03,1,85,1784154
2020-09-04,1,85,1785969
2020-09-05,1,85,1786324
2020-09-06,1,85,1786691
2020-09-07,1,85,1806897
2020-09-08,1,85,1817782
2020-09-09,1,85,1831742
2020-09-09,3,85,706892
2020-09-10,1,85,1836009
2020-09-10,3,85,707215
2020-09-11,1,85,1837996
2020-09-11,3,85,707215
2020-09-12,1,85,1840853
2020-09-12,3,85,708567
2020-09-13,1,85,1855729
2020-09-15,1,85,1868862
2020-09-15,3,85,711937
2020-09-17,1,85,1874566
2020-09-17,3,85,711937
2020-09-18,1,85,1879818
2020-09-18,3,85,711937
2020-09-21,1,85,1914406
2020-09-21,3,85,712444
2020-09-23,1,85,1915734
2020-09-23,3,85,713019
2020-09-24,1,85,1937430
2020-09-24,3,85,723178
2020-09-25,1,85,1944135
2020-09-25,3,85,723178
2020-09-27,1,85,1951870
2020-09-27,3,85,757744
2020-09-28,1,85,1965561
2020-09-28,3,85,757744
