date,userID,level,power
2021-01-04,1,85,2574937
2021-01-04,3,85,1317791
2021-01-05,1,85,2575948
2021-01-05,3,85,1321577
2021-01-06,1,85,2579173
2021-01-06,3,85,1324823
2021-01-07,1,85,2579295
2021-01-07,3,85,1326458
2021-01-08,1,85,2579472
2021-01-08,3,85,1341207
2021-01-09,1,85,2582765
2021-01-09,3,85,1341207
2021-01-10,1,85,2589469
2021-01-10,3,85,1342572
2021-01-11,1,85,2589469
2021-01-12,1,85,2596291
2021-01-12,3,85,1364527
2021-01-13,1,85,2597242
2021-01-13,3,85,1368007
2021-01-14,1,85,2599984
2021-01-14,3,85,1369021
2021-01-15,1,85,2601922
2021-01-15,3,85,1390714
2021-01-16,1,85,2603174
2021-01-16,3,85,1398807
2021-01-17,1,85,2606122
2021-01-17,3,85,1402400
2021-01-18,1,85,2608117
2021-01-18,3,85,1403270
2021-01-19,1,85,2623021
2021-01-19,3,85,1403700
2021-01-20,1,85,2624502
2021-01-20,3,85,1403700
2021-01-21,1,85,2625100
2021-01-24,1,85,2651984
2021-01-24,3,85,1403700
2021-01-25,1,85,2652470
2021-01-25,3,85,1404376
2021-01-26,1,85,2653445
2021-01-26,3,85,1404376
2021-01-27,1,85,2658450
2021-01-27,3,85,1405160
2021-01-28,1,85,2665783
2021-01-28,3,85,1416590
2021-01-29,1,85,2670724
2021-01-29,3,85,1427704
2021-01-30,1,85,2674239
2021-01-31,1,85,2674448
2021-01-31,3,85,1437722
