date,userID,level,power
2020-03-01,1,85,
2020-03-01,2,79,
2020-03-01,3,80,
2020-03-01,4,80,
2020-03-02,1,85,709882
2020-03-02,2,79,343700
2020-03-02,3,80,344069
2020-03-02,4,80,276937
2020-03-03,1,85,719693
2020-03-03,2,79,343913
2020-03-03,3,81,344069
2020-03-03,4,80,277733
2020-03-04,1,85,728408
2020-03-04,2,80,350626
2020-03-04,3,81,349257
2020-03-04,4,80,285586
2020-03-05,1,85,731504
2020-03-05,2,80,352711
2020-03-05,3,81,349277
2020-03-05,4,80,291721
2020-03-06,1,85,739781
2020-03-06,2,80,352714
2020-03-06,3,81,349296
2020-03-06,4,80,294623
2020-03-07,1,85,746667
2020-03-07,2,80,354336
2020-03-07,3,81,349317
2020-03-07,4,80,299882
2020-03-08,1,85,748459
2020-03-08,2,80,357850
2020-03-08,3,81,359588
2020-03-08,4,81,299888
2020-03-09,1,85,784776
2020-03-09,2,80,358092
2020-03-09,3,81,366001
2020-03-09,4,81,299912
2020-03-10,1,85,791010
2020-03-10,2,80,361603
2020-03-10,3,82,370075
2020-03-10,4,81,309064
2020-03-11,1,85,794439
2020-03-11,2,80,365560
2020-03-11,3,82,370118
2020-03-11,4,81,310063
2020-03-12,1,85,795314
2020-03-12,2,81,365563
2020-03-12,3,82,380865
2020-03-12,4,81,310063
2020-03-19,1,85,838881
2020-03-19,2,81,385272
2020-03-19,3,82,384896
2020-03-19,4,82,337567
2020-03-20,1,85,842006
2020-03-20,2,81,385326
2020-03-20,3,82,386121
2020-03-20,4,82,343607
2020-03-21,1,85,843423
2020-03-21,2,81,388759
2020-03-21,3,83,388106
2020-03-21,4,82,343610
2020-03-22,1,85,851293
2020-03-22,2,82,389587
2020-03-22,3,83,390326
2020-03-22,4,82,347604

