date,userID,level,power
2020-06-03,1,85,1239108
2020-06-04,1,85,1239473
2020-06-05,1,85,1242170
2020-06-06,1,85,1243255
2020-06-07,1,85,1245468
2020-06-08,1,85,1270831
2020-06-09,1,85,1273969
2020-06-10,1,85,1285353
2020-06-11,1,85,1287419
2020-06-12,1,85,1297428
2020-06-13,1,85,1303115
2020-06-14,1,85,1303115
2020-06-15,1,85,1306060
2020-06-16,1,85,1310216
2020-06-17,1,85,1313287
2020-06-18,1,85,1313287
2020-06-19,1,85,1313430
2020-06-20,1,85,1315623
2020-06-21,1,85,1315623
2020-06-22,1,85,1319080
2020-06-23,1,85,1330471
2020-06-24,1,85,1331788
2020-06-25,1,85,1335670
2020-06-26,1,85,1336399
2020-06-27,1,85,1342166
2020-06-28,1,85,1352220
2020-06-29,1,85,1355780
