date,userID,level
2020-01-01,1,80
2020-01-01,2,58
2020-01-01,3,63
2020-01-02,1,80
2020-01-02,2,59
2020-01-02,3,64
2020-01-03,1,80
2020-01-03,2,59
2020-01-03,3,65
2020-01-04,1,80
2020-01-04,2,60
2020-01-04,3,65
2020-01-04,4,66
2020-01-05,1,80
2020-01-05,2,61
2020-01-05,3,66
2020-01-05,4,66
2020-01-06,1,81
2020-01-06,2,61
2020-01-06,3,66
2020-01-06,4,67
2020-01-07,1,81
2020-01-07,2,62
2020-01-07,3,67
2020-01-07,4,67
2020-01-08,1,81
2020-01-08,2,63
2020-01-08,3,67
2020-01-08,4,68
2020-01-09,1,81
2020-01-09,2,63
2020-01-09,3,68
2020-01-09,4,69
2020-01-10,1,81
2020-01-10,2,64
2020-01-10,3,68
2020-01-10,4,69
2020-01-11,1,81
2020-01-11,2,65
2020-01-11,3,69
2020-01-11,4,70
2020-01-12,1,81
2020-01-12,2,65
2020-01-12,3,70
2020-01-12,4,70
2020-01-13,1,82
2020-01-13,2,66
2020-01-13,3,70
2020-01-13,4,71
2020-01-14,1,82
2020-01-14,2,66
2020-01-14,3,70
2020-01-14,4,71
2020-01-15,1,82
2020-01-15,2,67
2020-01-15,3,70
2020-01-15,4,71
2020-01-16,1,82
2020-01-16,2,68
2020-01-16,3,72
2020-01-16,4,72
2020-01-17,1,82
2020-01-17,2,69
2020-01-17,3,72
2020-01-17,4,72
2020-01-18,1,82
2020-01-18,2,69
2020-01-18,3,72
2020-01-18,4,72
2020-01-19,1,82
2020-01-19,2,69
2020-01-19,3,72
2020-01-19,4,72
2020-01-20,1,82
2020-01-20,2,70
2020-01-20,3,73
2020-01-20,4,73
2020-01-21,1,83
2020-01-21,2,70
2020-01-21,3,73
2020-01-21,4,73
2020-01-22,1,83
2020-01-22,2,71
2020-01-22,3,73
2020-01-22,4,73
2020-01-23,1,83
2020-01-23,2,71
2020-01-23,3,73
2020-01-23,4,73
2020-01-24,1,83
2020-01-24,2,72
2020-01-24,3,74
2020-01-24,4,74
2020-01-25,1,83
2020-01-25,2,72
2020-01-25,3,74
2020-01-25,4,74
2020-01-26,1,83
2020-01-26,2,72
2020-01-26,3,74
2020-01-26,4,74
2020-01-27,1,83
2020-01-27,2,72
2020-01-27,3,74
2020-01-27,4,74
2020-01-28,1,83
2020-01-28,2,73
2020-01-28,3,75
2020-01-28,4,75
2020-01-29,1,84
2020-01-29,2,73
2020-01-29,3,75
2020-01-29,4,75
2020-01-30,1,84
2020-01-30,2,73
2020-01-30,3,75
2020-01-30,4,75
