battleID,reward,count
1,Geonosian Brood Alpha,1
1,Ability Material Mk III,3
1,Ability Material Mk II,3
1,Ability Material Mk I,4
2,Emperor's Shuttle,1
2,Mk 4 Arakyd Droid Caller Salvage,2
2,Mk 4 BAW Armor Mod Salvage,1
2,Mk 1 Chedak Comlink Salvage,1
3,Jolee Bindo,2
3,Mk 3 Carbanti Sensor Array Salvage,1
3,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,3
3,Mk 2 Chiewab Hypo Syringe,3
4,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
4,Mk 5 Loronar Power Cell Salvage,2
4,Mk 3 Neuro-Saav Electrobinoculars,2
4,Mk 3 BlasTech Weapon Mod,1
5,Scimitar,1
5,Mk 3 BAW Armor Mod,2
6,Mk 3 Czerka Stun Cuffs Salvage,1
6,Mk 4 Nubian Security Scanner Prototype Salvage,1
7,Canderous Ordo,3
7,Ability Material Mk II,4
7,Ability Material Mk I,1
8,Juhani,1
8,Mk 6 Nubian Security Scanner Prototype Salvage,2
8,Mk 3 Sienar Holo Projector Salvage,3
8,Mk 4 Chiewab Hypo Syringe Prototype Salvage,2
8,Mk 6 Fabritech Data Pad Salvage,1
9,Jango Fett,2
9,Hound's Tooth,2
9,Mk 3 Czerka Stun Cuffs Salvage,3
9,Mk 7 BlasTech Weapon Mod Prototype Salvage,3
9,Mk 10 BlasTech Weapon Mod Salvage,3
10,Mk 8 BlasTech Weapon Mod Prototype Salvage,2
10,Mk 3 TaggeCo Holo Lens Prototype,2
11,Mk 3 Czerka Stun Cuffs Salvage,1
12,Canderous Ordo,4
12,Ability Material Mk III,1
12,Ability Material Mk II,2
12,Ability Material Mk I,5
13,Canderous Ordo,1
14,Carth Onasi,1
14,Mk 2 Chedak Comlink Prototype,3
15,Bastila Shan (Fallen),2
15,Mk 7 BioTech Implant Prototype Salvage,2
15,Mk 4 Chedak Comlink Prototype Salvage,1
15,Mk 2 Sienar Holo Projector Prototype Salvage,2
16,Mk 3 Sienar Holo Projector Salvage,1
16,Mk 6 Fabritech Data Pad Salvage,1
16,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
17,Mk 8 BlasTech Weapon Mod Prototype Salvage,2
18,Admiral Piett,2
18,Mk 5 Nubian Design Tech Prototype Salvage,2
18,Mk 2 Zaltin Bacta Gel Prototype Salvage,2
18,Mk 1 Carbanti Sensor Array Prototype Salvage,2
18,Mk 1 Athakam Medpac Salvage,2
19,Mk 4 Arakyd Droid Caller Salvage,1
19,Mk 1 Chedak Comlink Salvage,1
20,Mk 9 Neuro-Saav Electrobinoculars Salvage,1
20,Mk 6 Neuro-Saav Electrobinoculars Prototype Salvage,1
20,Reinforcement Materials,1
21,Geonosian Brood Alpha,1
21,Ability Material Mk III,2
21,Ability Material Mk II,1
21,Ability Material Mk I,1
22,Scimitar,2
22,Mk 5 A/KT Stun Gun Prototype Salvage,1
