battleID,reward,count
1,T3-M4,8
2,T3-M4,3
3,Jolee Bindo,1
3,Mk 3 Carbanti Sensor Array Salvage,3
3,Mk 6 Loronar Power Cell Salvage,4
3,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,2
3,Mk 2 Chiewab Hypo Syringe,5
4,Jolee Bindo,3
4,Reinforcement Materials,1
5,Mother Talzin,1
5,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
5,Mk 1 Athakam Medpac Salvage,1
5,Mk 6 Neuro-Saav Electrobinoculars Prototype Salvage,1
6,Mk 2 Zaltin Bacta Gel Prototype Salvage,2
6,Mk 1 Carbanti Sensor Array Prototype Salvage,1
