userID,reward,count
1,Mk 1 Loronar Power Cell,1
1,Mk 1 BioTech Implant,1
1,T3 Training Droid,1
1,Plo Koon,1
1,Clone Wars Chewbacca,1
1,Credits,700
3,Mk 2 BAW Armor Mod ,1
3,Mk 2 Nubian Security Scanner,1
2,Mk 1 Neuro-Saav Electrobinoculars,1
2,Mk 1 Loronar Power Cell,1
2,Mk 1 Merr-Sonn Shield Generator,1
2,T1 Training Droid,5
2,Mk 2 SoroSuub Keypad Prototype,1
2,Mk 1 Zaltin Bacta Gel,1
2,Mk 3 SoroSuub Keypad,1
2,Mk 2 Arakyd Droid Caller,1
2,Mk 1 Nubian Design Tech Prototype,1
2,T1 Training Droid,5
2,Credits,500
2,Barriss Offee,1
2,T1 Training Droid,5
2,General Veers,1
2,Mk 3 TaggeCo Holo Lens,1
2,Mk 3 Neuro-Saav Electrobinoculars,1
2,Mk 1 Fabritech Data Pad,1
2,Mk 1 Nubian Design Tech,1
2,Mk 1 CEC Fusion Furnace,1
2,IG-100 MagnaGuard,1
2,Snowtrooper,1
2,Mk 2 Nubian Security Scanner Prototype,1
2,Mk 2 Fabritech Data Pad,1
2,Snowtrooper,1
2,Mk 1 Chiewab Hypo Syringe Prototype,1
2,Mk 1 Neuro-Saav Electrobinoculars,1
2,Mk 1 BioTech Implant,1
2,Count Dooku,1
1,Mk 3 BlasTech Weapon Mod,1
1,Mk 1 A/KT Stun Gun,1
1,Mk 4 BioTech Implant,1
3,Mk 1 Fabritech Data Pad,1
3,Mk 1 Chiewab Hypo Syringe Prototype,1
3,Lobot,1
3,Teebo,1
3,Credits,300
