userID,reward,count
1,Mk 1 Merr-Soon Shield Generator,1
1,Mk 4 Loronar Power Cell Prototype,1
1,Mk 2 Neuro-Saav Electrobinoculars,1
1,Mk 3 BioTech Implant,1
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 2 Arakyd Droid Caller,1
1,Mk 3 SoroSuub Keypad,1
1,Mk 3 SoroSuub Keypad,1
1,Mk 2 Nubian Security Scanner Prototype,1
1,Mk 3 Sienar Holo Projector,1
1,Mk 1 BioTech Implant,1
1,Mk 1 Merr-Soon Shield Generator,1
1,Mk 1 BlasTech Weapon Mod,1
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 2 BioTech Implant,1
1,Mk 2 Arakyd Droid Caller,1
1,Mk 2 Fabritech Data Pad,1
1,Mk 3 Neuro-Saav Electrobinoculars,1
1,Mk 2 BAW Armor Mod Prototype,1
1,Hoth Rebel Scout,1
1,Mk 6 TaggeCo Holo Lens Prototype,1
1,Stormtrooper,1
1,Mk 1 Nubian Security Scanner,1
1,Credits,300
