userID,reward,count
1,Mk 1 Chiewab Hypo Syringe,1
1,Barriss Offee,1
1,Mk 4 Loronar Power Cell Prototype,1
1,Mk 2 BlasTech Weapon Mod,1
1,Mk 2 Merr-Sonn Shield Generator,1
1,Mk 2 Nubian Security Scanner Prototype,1
1,Mk 2 Loronar Power Cell,1
1,Mk 3 Neuro-Saav Electrobinoculars,1
1,Mk 2 TaggeCo Holo Lens,1
1,Mk 1 A/KT Stun Gun,1
1,Mk 1 Chiewab Hypo Syringe Prototype,1
1,T2 Training Droid,10
1,Mk 4 BioTech Implant,1
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 1 BAW Armor Mod,1
1,T3 Training Droid,2
1,Credits,1000
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 2 Neuro-Saav Electrobinoculars,1
1,T2 Training Droid,5
1,Credits,1000
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 2 Neuro-Saav Electrobinoculars,1
1,Mk 4 BioTech Implant Prototype,1
1,IG-86 Sentinel Droid,1
