userID,reward,count
3,Mk 1 Loronar Power Cell,1
3,Mk 1 Arakyd Droid Caller,1
3,Mk 1 BioTech Implant,1
3,Mk 2 Nubian Security Scanner,1
3,Mk 2 Nubian Security Scanner Prototype,1
3,Credits,300
1,Mk 1 Chiewab Hypo Syringe,1
1,Mk 5 BlasTech Weapon Mod,1
1,Mk 1 Nubian Design Tech,1
1,Mk 1 Neuro-Saav Electrobinoculars,1
1,Mk 2 Neuro-Saav Electrobinoculars Prototype,1
1,Mk 2 BlasTech Weapon Mod,1
1,Mk 1 Chiewab Hypo Syringe Prototype,1
1,Mk 1 Arakyd Droid Caller,1
1,Credits,500
1,Mk 4 Loronar Power Cell,1
1,Mk 3 BlasTech Weapon Mod,1
1,Mk 3 Merr-Sonn Shield Generator,1
1,Mk 1 CEC Fusion Furnace,1
1,Credits,300
1,Mk 1 Fabritech Data Pad,1
1,Mk 2 BlasTech Weapon Mod,1
1,General Veers,1
1,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
1,Jedi Knight Guardian,1
1,T2 Training Droid,10
2,Mk 2 BAW Armor Mod,1
2,Mk 1 Chiewab Hypo Syringe Prototype,1
2,Credits,300
2,Mk 1 Nubian Design Tech Prototype,1
2,Teebo,1
2,Mk 4 Neuro-Saav Electrobinoculars,1
2,Mk 1 Chiewab Hypo Syringe Prototype,1
2,Mk 4 A/KT Stun Gun,1
2,Mk 1 Arakyd Droid Caller,1
2,Mk 2 BlasTech Weapon Mod,1
2,Mk 1 CEC Fusion Furnace,1
2,Mk 4 BioTech Implant,1
2,Credits,500
2,Mk 2 BAW Armor Mod,1
2,T2 Training Droid,5
2,Mk 2 Nubian Security Scanner Prototype,1
2,IG-100 MagnaGuard,1
2,Mk 1 Merr-Sonn Shield Generator,1
2,Plo Koon,1
2,Credits,700
2,Mk 1 Chiewab Hypo Syringe,1
